id,salary_in_usd
0,133861.43822242712
1,82605.17248937437
2,82605.17248937437
3,54552.92570816157
4,68017.80495867964
5,97868.56417590172
6,78074.59203697335
7,66284.1440402071
8,51763.91594205305
9,91572.91194813051
10,40035.45026355835
11,87380.39326288577
12,69263.85645811759
13,41051.40902701058
14,100518.11082806824
15,35327.568602460444
16,78386.8901824144
17,82605.17248937437
18,28524.35735587616
19,53471.16601169431
20,75285.05948481889
21,75609.44146894588
22,74296.80015581821
23,112538.26785022777
24,35022.36954551821
25,36043.37745179658
26,48076.75071024177
27,83213.1814940847
28,58222.1724651238
29,100104.1556666879
30,78642.02020934313
31,65093.67314331909
32,64965.98522959582
33,134437.76826122767
34,41835.85844650041
35,61217.99197765245
36,112538.26785022777
37,43019.648227156096
38,41523.78511299813
39,91572.91194813051
40,40035.45026355835
41,47216.962331715695
42,82605.17248937437
43,91572.91194813051
44,43223.12529441658
45,117665.10065051966
46,68919.89985938779
47,41523.78511299813
48,65093.67314331909
49,26993.41884554172
50,69754.45147457607
51,75609.42153167728
52,68919.89985938779
53,72744.23780011803
54,68919.89985938779
55,60269.40914166023
56,112538.26785022777
57,108149.65450415136
58,112538.26785022777
59,112538.26785022777
60,112538.26785022777
61,108149.65450415136
62,112538.26785022777
63,101745.7988005285
64,101745.7988005285
65,112538.26785022777
66,112538.26785022777
67,112538.26785022777
68,101745.7988005285
69,60269.40914166023
70,68919.89985938779
71,91572.91194813051
72,58981.740993347164
73,65968.01366595534
74,70985.40432568066
75,68919.89985938779
76,69263.85645811759
77,65821.31033412302
78,50347.92174511379
79,78239.92332344413
80,58774.629929844115
81,68017.80495867964
82,69754.45147457607
83,87380.39326288577
84,72744.23780011803
85,60269.40914166023
86,60269.40914166023
87,112538.26785022777
88,112538.26785022777
89,33293.35105636276
90,49530.90294397948
91,59007.85002327623
92,69412.98285959907
93,149633.06845646826
94,112538.26785022777
95,65093.67314331909
96,29364.107728382733
97,60537.659145160855
98,56108.10679566001
99,101745.7988005285
100,112538.26785022777
101,112538.26785022777
102,112538.26785022777
103,112538.26785022777
104,112538.26785022777
105,40035.22596116629
106,101745.7988005285
