id,salary_in_usd
0,107834.95421428571
1,23814.683999999997
2,23814.683999999997
3,66827.83
4,46856.9825
5,70509.53838095238
6,74624.25057142855
7,59035.5825
8,23814.683999999997
9,74624.25057142855
10,48629.35133333334
11,74624.25057142855
12,23814.683999999997
13,47099.305
14,104320.01888095237
15,59035.5825
16,101605.15910245312
17,26086.056190476193
18,45582.01183333334
19,26086.056190476193
20,26086.056190476193
21,64523.314666666665
22,63115.67333333333
23,64712.97998809521
24,24476.2985
25,23455.788499999995
26,24185.210603174604
27,64712.97998809521
28,67765.36483333333
29,92804.23608333334
30,92804.23608333334
31,24185.210603174604
32,101277.95322619048
33,78160.14107936509
34,26870.218500000003
35,58161.56683333334
36,64712.97998809521
37,55451.32683333333
38,45582.01183333334
39,64712.97998809521
40,52981.73966666667
41,24476.2985
42,26086.056190476193
43,64712.97998809521
44,24185.210603174604
45,74979.5903690476
46,26086.056190476193
47,45582.01183333334
48,24185.210603174604
49,45582.01183333334
50,24185.210603174604
51,58561.22916666667
52,28455.925488095243
53,28455.925488095243
54,28455.925488095243
55,64660.26843528693
56,75927.04828571426
57,82193.57866666665
58,75927.04828571426
59,75927.04828571426
60,75927.04828571426
61,82193.57866666665
62,75927.04828571426
63,75927.04828571426
64,75927.04828571426
65,75927.04828571426
66,75927.04828571426
67,75927.04828571426
68,75927.04828571426
69,64660.26843528693
70,28455.925488095243
71,75927.04828571426
72,28455.925488095243
73,67592.60452777777
74,72854.11666666665
75,28455.925488095243
76,55643.11564682538
77,64660.26843528693
78,21937.49654761905
79,28455.925488095243
80,44643.62881349206
81,44643.62881349206
82,21937.49654761905
83,75927.04828571426
84,28455.925488095243
85,64660.26843528693
86,64660.26843528693
87,75927.04828571426
88,75927.04828571426
89,25124.4275
90,65240.085816239305
91,51259.4205067155
92,96905.65
93,25124.4275
94,75927.04828571426
95,21937.49654761905
96,27077.0875
97,65240.085816239305
98,65240.085816239305
99,75927.04828571426
100,75927.04828571426
101,75927.04828571426
102,75927.04828571426
103,75927.04828571426
104,75927.04828571426
105,25837.6275
106,75927.04828571426
