id,salary_in_usd
0,78534.10306544804
1,40037.997805209525
2,40037.997805209525
3,101032.24858363696
4,42303.21330087713
5,99190.14456262504
6,105008.16644394846
7,84527.05659578534
8,18340.620306485718
9,97255.90696889651
10,68201.8144698707
11,89253.48748877532
12,59779.26717704019
13,50090.661851024335
14,82233.33810190063
15,81655.35049881718
16,93542.83066998095
17,53604.0152340438
18,46368.09632200274
19,48719.979368874374
20,44677.60147904741
21,74789.27403241342
22,66077.77660850427
23,106849.70261752856
24,24883.646081648418
25,42279.80528513641
26,33817.609795632925
27,86364.58375693514
28,31381.176121840665
29,97583.75494388842
30,88422.2003047149
31,52728.1136417793
32,136425.1986193051
33,47680.96321048909
34,60802.522071185886
35,68256.40356383627
36,77536.00328425867
37,65561.55574853538
38,59823.17549469694
39,92482.75069241847
40,55795.30916912367
41,42286.247035347726
42,53604.0152340438
43,92482.75069241847
44,34164.21112786656
45,126966.63040556369
46,24117.180724074275
47,60333.07262877454
48,52728.1136417793
49,18485.3218053618
50,55575.799449192426
51,89569.29466041754
52,46863.01956745457
53,55528.696066348966
54,46863.01956745457
55,82131.38010682854
56,120534.63428877162
57,113489.28435242057
58,120534.63428877162
59,120534.63428877162
60,120534.63428877162
61,113489.28435242057
62,120534.63428877162
63,104823.54884391624
64,91530.23722270601
65,120534.63428877162
66,120534.63428877162
67,120534.63428877162
68,104823.54884391624
69,88413.18102932707
70,68383.65928281452
71,106639.84287034308
72,36478.20347933747
73,101019.37329477546
74,87964.33974802708
75,46863.01956745457
76,83081.19021008728
77,85111.8070779057
78,45888.2862962646
79,83351.27641328945
80,61409.227947808795
81,59527.55226686721
82,51207.10901205344
83,77030.95523402127
84,55528.696066348966
85,82131.38010682854
86,82131.38010682854
87,120534.63428877162
88,120534.63428877162
89,29437.24172868559
90,75210.64967957676
91,61631.57010336467
92,73591.03116091464
93,42515.02439611132
94,120534.63428877162
95,42191.88218772342
96,37222.782281853746
97,80505.90671260502
98,79243.42271250872
99,104823.54884391624
100,120534.63428877162
101,120534.63428877162
102,120534.63428877162
103,120534.63428877162
104,120534.63428877162
105,66683.72683031566
106,104823.54884391624
