id,salary_in_usd
0,101794.18283167949
1,217561.52321501847
2,117566.75594588513
3,82717.94997323
4,45565.91661700445
5,75153.49274996477
6,240265.31574497264
7,50028.45381795677
8,90978.9073008726
9,179602.36717783604
10,41175.876829262656
11,196943.6157150632
12,119635.33791004405
13,40624.902195195
14,75023.45070208816
15,65010.623540584624
16,67090.50142192077
17,147123.3298124938
18,39311.67928449336
19,47385.617888931774
20,188761.80542592355
21,66343.71998498379
22,92641.11852114226
23,185605.2710592049
24,8713.048417145674
25,-1797.0626817701736
26,19957.57736247797
27,204829.0403351879
28,23550.419778965475
29,144255.4630499717
30,149968.05402158087
31,98191.6607968403
32,133778.55666861596
33,27116.808693587973
34,63529.61115005466
35,63921.667772042245
36,196695.7163880517
37,50052.830332764075
38,63529.61115005466
39,190513.53357119093
40,21636.504254495907
41,5701.447260199006
42,140012.25547900554
43,203200.35324666716
44,46441.13754299697
45,249180.47419173564
46,72473.2856923602
47,44727.26483939108
48,98191.6607968403
49,55703.50315449826
50,99366.60067658275
51,17117.7920527782
52,104482.90922093843
53,154091.23427834778
54,107354.77648037756
55,81353.20767974872
56,158721.81495273585
57,167329.46196054513
58,113821.18483888042
59,144075.21199338723
60,113821.18483888042
61,232552.53542235747
62,144075.21199338723
63,134311.01865667093
64,185300.95488357724
65,167647.74306690367
66,167647.74306690367
67,144075.21199338723
68,110062.56304926875
69,63543.92092701586
70,139127.5560748345
71,180241.93277339832
72,84234.58593191084
73,68519.69308887608
74,93379.47544840584
75,120557.28914392524
76,76714.0314600366
77,83898.12637272936
78,94734.5777179042
79,164208.8952410362
80,15120.145612272368
81,38636.08471510855
82,199286.0000528653
83,183765.6674998566
84,122381.61885625657
85,68720.5447815557
86,68720.5447815557
87,158721.81495273585
88,144075.21199338723
89,37976.847918942745
90,56210.85188528833
91,48571.695352131705
92,85118.02734310446
93,30533.520880256852
94,144075.21199338723
95,166998.43957799123
96,33179.970903460395
97,76574.7546640621
98,63287.837985067476
99,142254.13619398724
100,144075.21199338723
101,113821.18483888042
102,113821.18483888042
103,167647.74306690367
104,158721.81495273585
105,53586.414791002244
106,110062.56304926875
