id,salary_in_usd
0,89735.47792432741
1,76881.97463306949
2,68874.52080355168
3,48754.21734438468
4,70295.39357520799
5,80988.16046806269
6,83523.53611056435
7,49790.87929770405
8,69550.88622646665
9,97939.07488836734
10,32342.034792560535
11,96886.53605072225
12,55670.59479894447
13,41820.25792565071
14,87388.89659661088
15,53852.64698248422
16,68417.80302344807
17,69580.5096026546
18,37823.46835603468
19,53093.58189161242
20,52875.4476922859
21,50675.9739566258
22,57719.14239155386
23,112741.29980271368
24,47860.05579142303
25,46150.259128840924
26,49562.81265938822
27,105733.50441662261
28,67719.28221136167
29,130050.3434938366
30,124299.11940857777
31,51697.93158071156
32,103615.95590663768
33,66606.73385661896
34,37680.722550129314
35,48062.202006507876
36,107888.87435058189
37,45060.98313987874
38,38561.716780652285
39,114151.26615151692
40,32421.07348856283
41,39641.49299964806
42,68819.42049755831
43,101143.55173359043
44,54100.42098420674
45,157053.76732874985
46,64357.38617317865
47,34927.460931847534
48,51697.93158071156
49,49372.86987187529
50,51142.34045554891
51,64583.34801482564
52,66463.10091518649
53,70193.27706690594
54,62218.71488102039
55,49472.54604601589
56,99814.3368419793
57,128558.55663746814
58,93440.11458228882
59,96574.65025289867
60,93440.11458228882
61,141935.2715176383
62,96574.65025289867
63,88474.56657551072
64,97680.48084666012
65,95518.29245161633
66,95518.29245161633
67,96574.65025289867
68,85602.93634804986
69,54620.24029650321
70,56978.14228681073
71,97782.43309061926
72,63784.68682072748
73,55005.84605085448
74,69598.3779443787
75,64305.89962010074
76,52048.61612377564
77,54001.89022047018
78,44238.4827241317
79,77622.92262583479
80,54418.79835577728
81,60832.545304918945
82,51666.56797975216
83,112834.1562192161
84,67915.00497141239
85,51132.148680177546
86,51132.148680177546
87,99814.3368419793
88,96574.65025289867
89,37122.63319167501
90,55880.92809994253
91,68880.76290098093
92,85222.47473964782
93,47167.46405668316
94,96574.65025289867
95,62277.00015122292
96,32470.884139049133
97,48831.74911054193
98,41879.16528956593
99,79259.71471561491
100,96574.65025289867
101,93440.11458228882
102,93440.11458228882
103,95518.29245161633
104,99814.3368419793
105,30439.00076058534
106,85602.93634804986
